Source,Target,xianlu
苹果园,古城,1号线
古城,八角游乐园,1号线
八角游乐园,八宝山,1号线
八宝山,玉泉路,1号线
玉泉路,五棵松,1号线
五棵松,万寿路,1号线
万寿路,公主坟,1号线
公主坟,军事博物馆,1号线
军事博物馆,木樨地,1号线
木樨地,南礼士路,1号线
南礼士路,复兴门,1号线
复兴门,西单,1号线
西单,天安门西,1号线
天安门西,天安门东,1号线
天安门东,王府井,1号线
王府井,东单,1号线
东单,建国门,1号线
建国门,永安里,1号线
永安里,国贸,1号线
国贸,大望路,1号线
大望路,四惠,1号线
四惠,四惠东,八通线
西直门,积水潭,2号线
积水潭,鼓楼大街,2号线
鼓楼大街,安定门,2号线
安定门,雍和宫,2号线
雍和宫,东直门,2号线
东直门,东四十条,2号线
东四十条,朝阳门,2号线
朝阳门,建国门,2号线
建国门,北京站,2号线
北京站,崇文门,2号线
崇文门,前门,2号线
前门,和平门,2号线
和平门,宣武门,2号线
宣武门,长椿街,2号线
长椿街,复兴门,2号线
复兴门,阜成门,2号线
阜成门,车公庄,2号线
安河桥北,北宫门,4号线
北宫门,西苑,4号线
西苑,圆明园,4号线
圆明园,北京大学东门,4号线
北京大学东门,中关村,4号线
中关村,海淀黄庄,4号线
海淀黄庄,人民大学,4号线
人民大学,魏公村,4号线
魏公村,国家图书馆,4号线
国家图书馆,动物园,4号线
动物园,西直门,4号线
西直门,新街口,4号线
新街口,平安里,4号线
平安里,西四,4号线
西四,灵境胡同,4号线
灵境胡同,西单,4号线
西单,宣武门,4号线
宣武门,菜市口,4号线
菜市口,陶然亭,4号线
陶然亭,北京南站,4号线
北京南站,马家堡,4号线
马家堡,角门西,4号线
角门西,公益西桥,4号线
宋家庄,刘家窑,5号线
刘家窑,蒲黄榆,5号线
蒲黄榆,天坛东门,5号线
天坛东门,磁器口,5号线
磁器口,崇文门,5号线
崇文门,东单,5号线
东单,灯市口,5号线
灯市口,东四,5号线
东四,张自忠路,5号线
张自忠路,北新桥,5号线
北新桥,雍和宫,5号线
雍和宫,和平里北街,5号线
和平里北街,和平西桥,5号线
和平西桥,惠新西街南口,5号线
惠新西街南口,惠新西街北口,5号线
惠新西街北口,大屯路东,5号线
大屯路东,北苑路北,5号线
北苑路北,立水桥南,5号线
立水桥南,立水桥,5号线
立水桥,天通苑南,5号线
天通苑南,天通苑,5号线
天通苑,天通苑北,5号线
海淀五路居,慈寿寺,6号线
慈寿寺,花园桥,6号线
花园桥,白石桥南,6号线
白石桥南,车公庄西,6号线
车公庄西,车公庄,6号线
车公庄,平安里,6号线
平安里,北海北,6号线
北海北,南锣鼓巷,6号线
南锣鼓巷,东四,6号线
东四,朝阳门,6号线
朝阳门,东大桥,6号线
东大桥,呼家楼,6号线
呼家楼,金台路,6号线
金台路,十里堡,6号线
十里堡,青年路,6号线
青年路,褡裢坡,6号线
褡裢坡,黄渠,6号线
黄渠,常营,6号线
常营,草房,6号线
草房,物资学院路,6号线
物资学院路,通州北关,6号线
通州北关,通运门,6号线
通运门,北运河西,6号线
北运河西,北运河东,6号线
北运河东,郝家府,6号线
郝家府,东夏园,6号线
东夏园,潞城,6号线
北京西站,湾子,7号线
湾子,达官营,7号线
达官营,广安门内,7号线
广安门内,菜市口,7号线
菜市口,虎坊桥,7号线
虎坊桥,珠市口,7号线
珠市口,桥湾,7号线
桥湾,磁器口,7号线
磁器口,广渠门内,7号线
广渠门内,广渠门外,7号线
广渠门外,双井,7号线
双井,九龙山,7号线
九龙山,大郊亭,7号线
大郊亭,百子湾,7号线
百子湾,化工,7号线
化工,南楼梓庄,7号线
南楼梓庄,欢乐谷景区,7号线
欢乐谷景区,垡头,7号线
垡头,双合,7号线
双合,焦化厂,7号线
朱辛庄,育知路,8号线
育知路,平西府,8号线
平西府,回龙观东大街,8号线
回龙观东大街,霍营,8号线
霍营,育新,8号线
育新,西小口,8号线
西小口,永泰庄,8号线
永泰庄,林萃桥,8号线
林萃桥,森林公园南门,8号线
森林公园南门,奥林匹克公园,8号线
奥林匹克公园,奥体中心,8号线
奥体中心,北土城,8号线
北土城,安华桥,8号线
安华桥,安德里北街,8号线
安德里北街,鼓楼大街,8号线
鼓楼大街,什刹海,8号线
什刹海,南锣鼓巷,8号线
郭公庄,丰台科技园,9号线
丰台科技园,科怡路,9号线
科怡路,丰台南路,9号线
丰台南路,丰台东大街,9号线
丰台东大街,七里庄,9号线
七里庄,六里桥,9号线
六里桥,六里桥东,9号线
六里桥东,北京西站,9号线
北京西站,军事博物馆,9号线
军事博物馆,白堆子,9号线
白堆子,白石桥南,9号线
白石桥南,国家图书馆,9号线
巴沟,苏州街,10号线
苏州街,海淀黄庄,10号线
海淀黄庄,知春里,10号线
知春里,知春路,10号线
知春路,西土城,10号线
西土城,牡丹园,10号线
牡丹园,健德门,10号线
健德门,北土城,10号线
北土城,安贞门,10号线
安贞门,惠新西街南口,10号线
惠新西街南口,芍药居,10号线
芍药居,太阳宫,10号线
太阳宫,三元桥,10号线
三元桥,亮马桥,10号线
亮马桥,农业展览馆,10号线
农业展览馆,团结湖,10号线
团结湖,呼家楼,10号线
呼家楼,金台夕照,10号线
金台夕照,国贸,10号线
国贸,双井,10号线
双井,劲松,10号线
劲松,潘家园,10号线
潘家园,十里河,10号线
十里河,分钟寺,10号线
分钟寺,成寿寺,10号线
成寿寺,宋家庄,10号线
宋家庄,石榴庄,10号线
石榴庄,大红门,10号线
大红门,角门东,10号线
角门东,角门西,10号线
角门西,草桥,10号线
草桥,纪家庙,10号线
纪家庙,首经贸,10号线
首经贸,丰台站,10号线
丰台站,泥洼,10号线
泥洼,西局,10号线
西局,六里桥,10号线
六里桥,莲花桥,10号线
莲花桥,公主坟,10号线
公主坟,西钓鱼台,10号线
西钓鱼台,慈寿寺,10号线
慈寿寺,车道沟,10号线
车道沟,长春桥,10号线
长春桥,火器营,10号线
西直门,大钟寺,13号线
大钟寺,知春路,13号线
知春路,五道口,13号线
五道口,上地,13号线
上地,西二旗,13号线
西二旗,龙泽,13号线
龙泽,回龙观,13号线
回龙观,霍营,13号线
霍营,立水桥,13号线
立水桥,北苑,13号线
北苑,望京西,13号线
望京西,芍药居,13号线
芍药居,光熙门,13号线
光熙门,柳芳,13号线
柳芳,东直门,13号线
张郭庄,园博园,14号线
园博园,大瓦窑,14号线
大瓦窑,郭庄子,14号线
郭庄子,大井,14号线
大井,七里庄,14号线
七里庄,西局,14号线
西局,善各庄,14号线
善各庄,陶然桥,14号线
陶然桥,永定门,14号线
永定门,景泰,14号线
景泰,方庄,14号线
方庄,北工大西门,14号线
北工大西门,平乐园,14号线
平乐园,北京南站,14号线
北京南站,蒲黄榆,14号线
蒲黄榆,十里河,14号线
十里河,九龙山,14号线
九龙山,大望路,14号线
大望路,朝阳公园,14号线
朝阳公园,枣营,14号线
枣营,东风北桥,14号线
东风北桥,高家园,14号线
高家园,阜通,14号线
阜通,望京,14号线
望京,金台路,14号线
金台路,将台,14号线
将台,望京南,14号线
望京南,东湖渠,14号线
东湖渠,来广营,14号线
俸伯,顺义,15号线
顺义,石门,15号线
石门,南法信,15号线
南法信,后沙峪,15号线
后沙峪,花梨坎,15号线
花梨坎,国展,15号线
国展,孙河,15号线
孙河,马泉营,15号线
马泉营,崔各庄,15号线
崔各庄,望京东,15号线
望京东,望京,15号线
望京,望京西,15号线
望京西,关庄,15号线
关庄,大屯路东,15号线
大屯路东,安立路,15号线
安立路,奥林匹克公园,15号线
奥林匹克公园,北沙滩,15号线
北沙滩,六道口,15号线
六道口,清华东路西口,15号线
四惠东,高碑店,八通线
高碑店,传媒大学,八通线
传媒大学,双桥,八通线
双桥,管庄,八通线
管庄,八里桥,八通线
八里桥,通州北苑,八通线
通州北苑,果园,八通线
果园,九棵树,八通线
九棵树,梨园,八通线
梨园,临河里,八通线
临河里,土桥,八通线
昌平西山口,十三陵景区,昌平线
十三陵景区,昌平,昌平线
昌平,昌平东关,昌平线
昌平东关,北邵洼,昌平线
北邵洼,南邵,昌平线
南邵,沙河高教园,昌平线
沙河高教园,沙河,昌平线
沙河,巩华城,昌平线
巩华城,朱辛庄,昌平线
朱辛庄,生命科学园,昌平线
生命科学园,西二旗,昌平线
宋家庄,肖村,亦庄线
肖村,小红门,亦庄线
小红门,旧宫,亦庄线
旧宫,亦庄桥,亦庄线
亦庄桥,亦庄文化园,亦庄线
亦庄文化园,万源街,亦庄线
万源街,荣京东街,亦庄线
荣京东街,荣昌东街,亦庄线
荣昌东街,同济南路,亦庄线
同济南路,经海路,亦庄线
经海路,次渠南,亦庄线
次渠南,次渠,亦庄线
次渠,亦庄火车站,亦庄线
郭公庄,大葆台,房山线
大葆台,稻田,房山线
稻田,长阳,房山线
长阳,篱笆房,房山线
篱笆房,广阳城,房山线
广阳城,良乡大学城北,房山线
良乡大学城北,良乡大学城,房山线
良乡大学城,良乡大学城西,房山线
良乡大学城西,良乡南关,房山线
良乡南关,苏庄,房山线
东直门,三元桥,机场线
三元桥,3号航站楼,机场线
3号航站楼,2号航站楼,机场线
公益西桥,新宫,大兴线
新宫,西红门,大兴线
西红门,高米店北,大兴线
高米店北,高米店南,大兴线
高米店南,枣园,大兴线
枣园,清源路,大兴线
清源路,黄村西大街,大兴线
黄村西大街,黄村火车站,大兴线
黄村火车站,义和庄,大兴线
义和庄,生物医药基地,大兴线
生物医药基地,天宫院,大兴线
莘庄,外环路,1号线
外环路,莲花路,1号线
莲花路,锦江乐园,1号线
锦江乐园,上海南站,1号线
上海南站,漕宝路,1号线
漕宝路,上海体育馆,1号线
上海体育馆,徐家汇,1号线
徐家汇,衡山路,1号线
衡山路,常熟路,1号线
常熟路,陕西南路,1号线
陕西南路,黄陂南路,1号线
黄陂南路,人民广场,1号线
人民广场,新闸路,1号线
新闸路,汉中路,1号线
汉中路,上海火车站,1号线
上海火车站,中山北路,1号线
中山北路,延长路,1号线
延长路,上海马戏城,1号线
上海马戏城,汶水路,1号线
汶水路,彭浦新村,1号线
彭浦新村,共康路,1号线
共康路,通河新村,1号线
通河新村,呼兰路,1号线
呼兰路,共富新村,1号线
共富新村,宝安公路,1号线
宝安公路,友谊西路,1号线
友谊西路,富锦路,1号线
徐泾东,虹桥火车站,2号线
虹桥火车站,虹桥2号航站楼,10号线
虹桥2号航站楼,淞虹路,2号线
淞虹路,北新泾,2号线
北新泾,威宁路,2号线
威宁路,娄山关路,2号线
娄山关路,中山公园,2号线
中山公园,江苏路,2号线
江苏路,静安寺,2号线
静安寺,南京西路,2号线
南京西路,人民广场,2号线
人民广场,南京东路,2号线
南京东路,陆家嘴,2号线
陆家嘴,东昌路,2号线
东昌路,世纪大道,2号线
世纪大道,上海科技馆,2号线
上海科技馆,世纪公园,2号线
世纪公园,龙阳路,2号线
龙阳路,张江高科,2号线
张江高科,金科路,2号线
金科路,广兰路,2号线
广兰路,唐镇,2号线
唐镇,创新中路,2号线
创新中路,华夏东路,2号线
华夏东路,川沙,2号线
川沙,凌空路,2号线
凌空路,远东大道,2号线
远东大道,海天三路,2号线
海天三路,浦东国际机场,2号线
上海南站,石龙路,3号线
石龙路,龙漕路,3号线
龙漕路,漕溪路,3号线
漕溪路,宜山路,3号线
宜山路,虹桥路,4号线
虹桥路,延安西路,4号线
延安西路,中山公园,4号线
中山公园,金沙江路,4号线
金沙江路,曹杨路,4号线
曹杨路,镇坪路,4号线
镇坪路,中潭路,4号线
中潭路,上海火车站,4号线
上海火车站,宝山路,4号线
宝山路,东宝兴路,3号线
东宝兴路,虹口足球场,3号线
虹口足球场,赤峰路,3号线
赤峰路,大柏树,3号线
大柏树,江湾镇,3号线
江湾镇,殷高西路,3号线
殷高西路,长江南路,3号线
长江南路,淞发路,3号线
淞发路,张华浜,3号线
张华浜,淞滨路,3号线
淞滨路,水产路,3号线
水产路,宝杨路,3号线
宝杨路,友谊路,3号线
友谊路,铁力路,3号线
铁力路,江杨北路,3号线
上海体育馆,宜山路,4号线
宝山路,海伦路,4号线
海伦路,临平路,4号线
临平路,大连路,4号线
大连路,杨树浦路,4号线
杨树浦路,浦东大道,4号线
浦东大道,世纪大道,4号线
世纪大道,浦电路,6号线
浦电路,蓝村路,6号线
蓝村路,塘桥,4号线
塘桥,南浦大桥,4号线
南浦大桥,西藏南路,4号线
西藏南路,鲁班路,4号线
鲁班路,大木桥路,4号线
大木桥路,东安路,4号线
东安路,上海体育场,4号线
上海体育场,内圈,4号线
内圈,外圈,4号线
外圈,内圈(宜山路),4号线
内圈(宜山路),外圈(宜山路),4号线
莘庄,春申路,5号线
春申路,银都路,5号线
银都路,颛桥,5号线
颛桥,北桥,5号线
北桥,剑川路,5号线
剑川路,东川路,5号线
东川路,金平路,5号线
金平路,华宁路,5号线
华宁路,文井路,5号线
文井路,闵行开发区,5号线
东方体育中心,灵岩南路,6号线
灵岩南路,上南路,6号线
上南路,华夏西路,6号线
华夏西路,高青路,6号线
高青路,东明路,6号线
东明路,高科西路,6号线
高科西路,临沂新村,6号线
临沂新村,上海儿童医学中心,6号线
上海儿童医学中心,蓝村路,6号线
世纪大道,源深体育中心,6号线
源深体育中心,民生路,6号线
民生路,北洋泾路,6号线
北洋泾路,德平路,6号线
德平路,云山路,6号线
云山路,金桥路,6号线
金桥路,博兴路,6号线
博兴路,五莲路,6号线
五莲路,巨峰路,6号线
巨峰路,东靖路,6号线
东靖路,五洲大道,6号线
五洲大道,洲海路,6号线
洲海路,外高桥保税区南站,6号线
外高桥保税区南站,航津路,6号线
航津路,外高桥保税区北站,6号线
外高桥保税区北站,港城路,6号线
美兰湖,罗南新村,7号线
罗南新村,潘广路,7号线
潘广路,刘行,7号线
刘行,顾村公园,7号线
顾村公园,祁华路,7号线
祁华路,上海大学,7号线
上海大学,南陈路,7号线
南陈路,上大路,7号线
上大路,场中路,7号线
场中路,大场镇,7号线
大场镇,行知路,7号线
行知路,大华三路,7号线
大华三路,新村路,7号线
新村路,岚皋路,7号线
岚皋路,镇坪路,7号线
镇坪路,长寿路,7号线
长寿路,昌平路,7号线
昌平路,静安寺,7号线
静安寺,常熟路,7号线
常熟路,肇嘉浜路,7号线
肇嘉浜路,东安路,7号线
东安路,龙华中路,7号线
龙华中路,后滩,7号线
后滩,长清路,7号线
长清路,耀华路,7号线
耀华路,云台路,7号线
云台路,高科西路,7号线
高科西路,杨高南路,7号线
杨高南路,锦绣路,7号线
锦绣路,芳华路,7号线
芳华路,龙阳路,7号线
龙阳路,花木路,7号线
沈杜公路,联航路,8号线
联航路,江月路,8号线
江月路,浦江镇,8号线
浦江镇,芦恒路,8号线
芦恒路,凌兆新村,8号线
凌兆新村,东方体育中心,8号线
东方体育中心,杨思,8号线
杨思,成山路,8号线
成山路,耀华路,8号线
耀华路,中华艺术宫,8号线
中华艺术宫,西藏南路,8号线
西藏南路,陆家浜路,8号线
陆家浜路,老西门,8号线
老西门,大世界,8号线
大世界,人民广场,8号线
人民广场,曲阜路,8号线
曲阜路,中兴路,8号线
中兴路,西藏北路,8号线
西藏北路,虹口足球场,8号线
虹口足球场,曲阳路,8号线
曲阳路,四平路,8号线
四平路,鞍山新村,8号线
鞍山新村,江浦路,8号线
江浦路,黄兴路,8号线
黄兴路,延吉中路,8号线
延吉中路,黄兴公园,8号线
黄兴公园,翔殷路,8号线
翔殷路,嫩江路,8号线
嫩江路,市光路,8号线
松江南站,醉白池,9号线
醉白池,松江体育中心,9号线
松江体育中心,松江新城,9号线
松江新城,松江大学城,9号线
松江大学城,洞泾,9号线
洞泾,佘山,9号线
佘山,泗泾,9号线
泗泾,九亭,9号线
九亭,中春路,9号线
中春路,七宝,9号线
七宝,星中路,9号线
星中路,合川路,9号线
合川路,漕河泾开发区,9号线
漕河泾开发区,桂林路,9号线
桂林路,宜山路,9号线
宜山路,徐家汇,9号线
徐家汇,肇嘉浜路,9号线
肇嘉浜路,嘉善路,9号线
嘉善路,打浦桥,9号线
打浦桥,马当路,9号线
马当路,陆家浜路,9号线
陆家浜路,小南门,9号线
小南门,商城路,9号线
商城路,世纪大道,9号线
世纪大道,杨高中路,9号线
航中路,紫藤路,10号线
紫藤路,龙柏新村,10号线
龙柏新村,虹桥火车站,10号线
虹桥2号航站楼,虹桥1号航站楼,10号线
虹桥1号航站楼,上海动物园,10号线
上海动物园,龙溪路,10号线
龙溪路,水城路,10号线
水城路,伊犁路,10号线
伊犁路,宋园路,10号线
宋园路,虹桥路,10号线
虹桥路,交通大学,10号线
交通大学,上海图书馆,10号线
上海图书馆,陕西南路,10号线
陕西南路,新天地,10号线
新天地,老西门,10号线
老西门,豫园,10号线
豫园,南京东路,10号线
南京东路,天潼路,10号线
天潼路,四川北路,10号线
四川北路,海伦路,10号线
海伦路,邮电新村,10号线
邮电新村,四平路,10号线
四平路,同济大学,10号线
同济大学,国权路,10号线
国权路,五角场,10号线
五角场,江湾体育场,10号线
江湾体育场,三门路,10号线
三门路,殷高东路,10号线
殷高东路,新江湾城,10号线
花桥,光明路,11号线
光明路,兆丰路,11号线
兆丰路,安亭,11号线
安亭,上海汽车城,11号线
上海汽车城,昌吉东路,11号线
昌吉东路,上海赛车场,11号线
上海赛车场,嘉定北,11号线
嘉定北,嘉定西,11号线
嘉定西,白银路,11号线
白银路,嘉定新城,11号线
嘉定新城,马陆,11号线
马陆,南翔,11号线
南翔,桃浦新村,11号线
桃浦新村,武威路,11号线
武威路,祁连山路,11号线
祁连山路,李子园,11号线
李子园,上海西站,11号线
上海西站,真如,11号线
真如,枫桥路,11号线
枫桥路,曹杨路,11号线
曹杨路,隆德路,11号线
隆德路,江苏路,11号线
江苏路,交通大学,11号线
交通大学,徐家汇,11号线
徐家汇,上海游泳馆,11号线
上海游泳馆,龙华,11号线
龙华,云锦路,11号线
云锦路,龙耀路,11号线
龙耀路,东方体育中心,11号线
东方体育中心,三林,11号线
三林,三林东,11号线
三林东,浦三路,11号线
浦三路,严御路（暂未开通）,11号线
严御路（暂未开通）,御桥,11号线
御桥,罗山路,11号线
罗山路,秀沿路,11号线
秀沿路,康新公路,11号线
七莘路,虹莘路,12号线
虹莘路,顾戴路,12号线
顾戴路,东兰路,12号线
东兰路,虹梅路,12号线
虹梅路,虹漕路,12号线
虹漕路,桂林公园,12号线
桂林公园,漕宝路,12号线
漕宝路,龙漕路,12号线
龙漕路,龙华,12号线
龙华,龙华中路,12号线
龙华中路,大木桥路,12号线
大木桥路,嘉善路,12号线
嘉善路,陕西南路,12号线
陕西南路,南京西路,12号线
南京西路,汉中路,12号线
汉中路,曲阜路,12号线
曲阜路,天潼路,12号线
天潼路,国际客运中心,12号线
国际客运中心,提篮桥,12号线
提篮桥,大连路,12号线
大连路,江浦公园,12号线
江浦公园,宁国路,12号线
宁国路,隆昌路,12号线
隆昌路,爱国路,12号线
爱国路,复兴岛,12号线
复兴岛,东陆路,12号线
东陆路,巨峰路,12号线
巨峰路,杨高北路,12号线
杨高北路,金京路,12号线
金京路,申江路,12号线
申江路,金海路,12号线
金运路,金沙江西路,13号线
金沙江西路,丰庄,13号线
丰庄,祁连山南路,13号线
祁连山南路,真北路,13号线
真北路,大渡河路,13号线
大渡河路,金沙江路,13号线
金沙江路,隆德路,13号线
隆德路,武宁路,13号线
武宁路,长寿路,13号线
长寿路,江宁路,13号线
江宁路,汉中路,13号线
汉中路,自然博物馆,13号线
自然博物馆,南京西路,13号线
南京西路,淮海中路,13号线
淮海中路,新天地,13号线
新天地,马当路,13号线
马当路,世博会博物馆,13号线
世博会博物馆,世博大道,13号线
龙阳路,华夏中路,16号线
华夏中路,罗山路,16号线
罗山路,周浦东,16号线
周浦东,鹤沙航城,16号线
鹤沙航城,航头东,16号线
航头东,新场,16号线
新场,野生动物园,16号线
野生动物园,惠南,16号线
惠南,惠南东,16号线
惠南东,书院,16号线
书院,临港大道,16号线
临港大道,滴水湖,16号线