uid,user_name,verifiedType,following,followers,statusCount,location
1572186091,张莹超,个人认证,749,409,178,山西 临汾
3020785645,郭凤杰一号,普通用户,490,78,74,山东 东营
2496525780,临汾弘毅福特4S店,普通用户,859,208,128,山西 临汾
2725984697,临汾锦华丰田,机构认证,1430,1003,713,山西 临汾
3024418465,江宗生,普通用户,0,3,0,吉林 长春
2759826267,改嫁拆成主线勃然,普通用户,1330,613,623,海外 英国
2967116093,临汾市尧都区韩宫婚纱摄影店,机构认证,591,103,280,山西 临汾
1854648302,辛竹梅,普通用户,14,4,68,山西
2081755117,woaiwode2011,普通用户,1065,288,199,海外 希腊
3041511021,数码评测员,普通用户,77,26,30,山西 临汾
2855767821,京东团临汾,普通用户,155,13,1,山西 临汾
1855839632,临汾萧萧,普通用户,439,88,467,山西
2186001287,HM-LT,普通用户,204,163,5917,山西
2783954637,坐着单车一起看海,普通用户,162,11,69,山西
1678266480,沃-李海洋,普通用户,133,272,309,山西 大同
1855853820,看破红尘5505,微博达人,406,182,809,山西 临汾
1855797922,王艺晓1,微博达人,297,153,11496,山西 临汾
2853891677,幸福勾到,普通用户,1907,2007,1022,云南 昆明
1517780062,沃WO崔欣强,普通用户,308,110,384,山西 朔州
1854581822,联通工作者,普通用户,37,22,70,山西
2055289771,临汾东方红,普通用户,88,125,294,山西 临汾
2255354951,耕田的人--临汾之星,普通用户,200,147,388,山西 临汾
2738864317,金葵花临汾小记者,普通用户,126,64,276,山西 临汾
2511516450,华中出版李锦明,个人认证,301,232,163,湖北 武汉
1854644844,浮山段欣,普通用户,899,343,8288,山西 临汾
1855804210,临汾鲁松,普通用户,274,770,17183,山西 临汾
2850470924,永远的一米五九,个人认证,610,298,113,山西 临汾
2709819877,手机用户2709819877,普通用户,7,1,3,其他
1855821662,临汾联通兰文伟,普通用户,411,185,152,山西 临汾
2353268161,爱临汾爱褚婷,普通用户,342,130,199,山西 太原
2576424761,手机用户2576424761,普通用户,20,5,5,北京
2454932067,山西钱小斗太力,普通用户,128,367,134,其他
2782438467,手机用户2782438467,普通用户,18,1,0,内蒙古
2045594475,酸阿敏,微博达人,1746,1952,5552,山西 太原
2026936801,游园丰,普通用户,163,251,26,山西 临汾
2059467957,临汾联通赵喜娟,普通用户,246,320,354,山西 临汾
1854767760,临汾田丰,普通用户,235,244,28,山西 临汾
2108816370,huangtc0089,普通用户,164,174,476,山西
2085398265,Lfyzt,普通用户,293,330,306,山西 临汾
2107417011,网优舞动人生,普通用户,458,287,196,山西 临汾
1855854552,临汾高洁,普通用户,173,623,2053,山西
1854744214,汾西郭新华,微博达人,116,118,94,山西 临汾
1855839870,临汾联通赵效强,普通用户,140,225,80,山西 临汾
1854683410,山西临汾纸鸢,普通用户,376,317,774,山西 临汾
2081694815,汾西联通平凡的我,普通用户,2000,1945,119,山西 临汾
1854801732,沃精彩-沃生活,普通用户,181,251,433,山西 临汾
2695005787,Rce1ny-欣-,微博达人,704,470,1175,山西 临汾
2811405354,猪二姐2012,普通用户,99,15,0,山西 临汾
2734203575,别拽单身小男,普通用户,833,190,162,北京 昌平区
1855858352,贺糖妈,普通用户,37,1314,24028,山西 临汾
2758359577,临汾那些事,普通用户,264,100,33,山西 临汾
1854684182,崔崔1982,微博达人,316,11732,21872,山西 临汾
2742031154,娇786475538,普通用户,9,2,3,其他
2204130925,角落里的多货,微博达人,621,935,1291,山西 临汾
1855803970,临汾张哲,微博达人,220,316,1417,山西 临汾
2157680243,afei0520,普通用户,5,13,15,其他
2721576755,牛晓斌1259775,普通用户,373,260,465,其他
2022453253,临汾艺光年传媒学校,普通用户,363,17006,97,山西 临汾
1854796364,山西王晓丽,普通用户,104,64,735,山西
1934595867,宠辱不惊惟道是从,微博达人,1307,2481,2360,山西
1854630232,曲沃解瑞芝,普通用户,281,114,116,山西 临汾
1908880627,临汾黄正东,普通用户,626,592,951,山西 临汾
1855841522,小结巴15,普通用户,209,135,2668,山西
2448600533,一汽-大众临汾银光4S店,机构认证,1248,2292,892,山西 临汾
2660712991,潇洒的活在现实社会,普通用户,53,28,25,山西 临汾
2669705960,雎鸠知舟,普通用户,1586,395,919,山西
1822059013,我们爱临汾,普通用户,1926,751,1473,山西 临汾
1271352321,lfyf210,普通用户,24,2,0,山西 临汾
2700654204,大帅92,普通用户,76,11,5,山西 临汾
2679957780,海岚2679957780,普通用户,117,15,50,山西 临汾
1836794092,李晓芸CP,普通用户,427,482,1300,山西 太原
1901144781,leon馨月,普通用户,616,301,361,山西
1884729561,山西李桂冰,普通用户,264,177,88,山西 临汾
2449176267,法制网临汾,普通用户,53,14,11,北京 东城区
2542175383,朔州沃时代手机旗舰店,普通用户,383,356,1050,山西 朔州
1854729180,汾西侯桑英,普通用户,379,148,369,山西 临汾
2520436787,爱马俊霞,普通用户,15,1,7,其他
2049845671,临汾新世界3G俱乐部,普通用户,186,210,342,山西 太原
1826118557,keke的小屋01,普通用户,303,67,22,山西 长治
2438044965,上海大众临汾新盛红龙4S店,机构认证,1842,792,322,山西 临汾
2442640395,Bowen_yao,普通用户,49,34,9,山西 临汾
2175005267,穆占国,普通用户,650,499,388,山西 太原
2579313962,宝贝lovemyself,普通用户,47,7,9,山西 临汾
2307470012,养生而言,普通用户,1754,475,96,天津 河东区
2456048402,终败网络,微博达人,380,233,579,山西 临汾
2483145765,黑玫瑰818,普通用户,13,2,0,重庆
1863391963,开心就好21777,普通用户,1594,1214,2133,新疆 塔城
2463686201,姐的范儿你模仿不起,普通用户,79,21,30,山西 临汾
1855855204,临汾联通王瑜,普通用户,164,289,258,山西 临汾
1855701034,元芳看看看,微博达人,1819,1549,6275,山西 晋中
1784389700,李艺山西,个人认证,2000,2410,1559,山西 太原
1786082255,临汾薛忆如,机构认证,1989,5157,0,山西 临汾
2404204270,临汾锣鼓桥上海大众汽车微博,机构认证,1980,2404,3794,山西 临汾
1493093563,云帆科技OAit,普通用户,1764,1480,5897,山西 太原
1854695494,临汾联通强子,微博达人,232,222,815,山西
2397824685,手机用户2397824685,普通用户,14,4,0,云南
2382879575,品香书阁,普通用户,1382,1087,987,山西 临汾
1854640642,清水-河畔,普通用户,198,158,131,山西
2376567197,临汾京铁旅行社,普通用户,189,37,0,山西 临汾
1854623394,想-为你淋雨,微博达人,610,742,236,山西 临汾
1897631345,沃浪涛沙,普通用户,226,356,1428,山西 临汾
1254253457,空灵---天空,普通用户,744,206,0,山西 临汾
1854655352,联通芳冰,普通用户,672,676,41802,山西
2325097180,墨之竹6448,普通用户,546,47,18,新疆 阿勒泰
2334120524,Dei声松,普通用户,1022,135,42,北京 海淀区
1854805704,野生司机,微博达人,557,745,9,山西 临汾
2331609707,老崔的流水账,微博达人,259,286,362,山西 临汾
2301751873,韦伟春,普通用户,1765,134,66,西藏 林芝
1855230003,stronger西西,微博达人,380,285,371,四川 成都
1985583871,LING--听,普通用户,220,129,79,辽宁 锦州
2081601341,临汾联通王金龙,普通用户,133,384,873,山西 临汾
2344035195,临汾团购人,普通用户,853,293,165,山西 临汾
1880107345,you_da,普通用户,411,118,12,黑龙江 哈尔滨
2338567931,大天有点贱,普通用户,642,222,187,上海 浦东新区
1854601074,贵妃娘娘178,普通用户,83,39,197,山西
1612424997,临汾李天恩,普通用户,1991,555,129,山西 临汾
1831751154,洛浦涛声,普通用户,1563,713,1847,河南 洛阳
1855847262,海的深度W,普通用户,245,173,805,山西 临汾
1854048851,山之半居,普通用户,1343,801,3481,北京 东城区
1774883834,恒恒在心,普通用户,327,176,204,广东 韶关
1867121471,3G-沃-不闻静9782,微博达人,579,459,1569,其他
2296331105,手机用户2296331105,普通用户,35,3,0,陕西
2095264487,李高航,普通用户,143,47,86,山西
2295698973,手机用户2295698973,普通用户,40,2,0,天津
2296279341,多米音乐_10923765,普通用户,18,1,0,其他
1463491242,zupg,普通用户,1964,428,271,江苏 徐州
2177309242,米特拉,普通用户,535,123,353,其他
2127584131,欢乐我握wo,普通用户,337,160,65,山西 临汾
1855276772,联通米老头,普通用户,172,116,428,山西 忻州
1897888033,桂阳yaya,普通用户,147,292,911,湖南 郴州
1819751061,渔山一农,普通用户,279,729,828,浙江 宁波
2122256352,珂爱Love,微博达人,816,631,725,河南 洛阳
2287431723,1龙2287431723,普通用户,313,140,37,山西
2018334791,淮南的多余的,个人认证,1521,2582,2968,安徽
1219927442,我吃粽子-赵明hw,普通用户,401,289,711,山西 太原
2269439741,caihongji14,普通用户,199,51,9,福建 漳州
2268312690,罗淑慧895,普通用户,271,51,15,河北 张家口
2211026683,新苹之正754,普通用户,1207,233,84,湖南 张家界
1855888960,方WO糖,微博达人,427,369,553,山西 临汾
1832695880,翔巍,普通用户,887,717,749,宁夏
1849074080,美丽的松花江,普通用户,1359,899,484,黑龙江 哈尔滨
2234360665,若-我们只如初见,普通用户,179,41,3,山西 临汾
1849023542,---wo无所谓----,普通用户,2001,1671,329,黑龙江 鸡西
1854695662,临汾清华,普通用户,295,179,49,山西
2210306485,开心熙禧,普通用户,45,21,29,其他
2028096440,北京龙行天下2008,普通用户,1997,372,541,北京 宣武区
2208475281,陈宝宝微博,普通用户,138,8,3,山西 临汾
1049616495,斗牛士318,普通用户,240,173,511,山西 临汾
1854772744,郭晓芳的小灿烂,普通用户,2000,2024,4366,山西 朔州
1854731324,冷酷到底1538,微博达人,271,195,411,山西 临汾
1920401757,胜天史秀民,个人认证,255,902,2142,河南
2187529590,大风吹的围脖,普通用户,160,94,10,其他
2166377931,aya大小s通吃,普通用户,1749,1784,416,山西 太原
1855787462,风驰电掣的牛车,普通用户,1035,495,2479,山西 临汾
2043300795,山西太阳花,普通用户,57,51,18,山西 临汾
2008017697,小雅头讨厌肉呼呼,微博达人,218,1131,6139,山西 临汾
1987363167,mDDE二sV_,普通用户,102,63,23,陕西 商洛
2087443351,萍水相逢yhlp,普通用户,126,164,58,山西
2147502192,尹隽毅,普通用户,1858,170,0,湖北 武汉
1854652640,侯马买买提,普通用户,1992,1243,422,山西
1410647175,伤心太平洋小屋,普通用户,144,89,128,山西 临汾
1855800350,红A月A亮,普通用户,64,37,33,山西
2119629603,临汾联通李卓芮,普通用户,78,86,23,山西
1855824274,临汾联通任刚,普通用户,99,239,103,山西
1964002187,别的小朋友们,普通用户,1463,1638,239,山西 临汾
2154407455,临汾火箭,普通用户,70,56,9,其他
1854806340,蒜蒜R-,普通用户,653,503,1138,山西
1854770860,傻傻的愚翁,微博达人,1967,2826,20162,山西 朔州
1855892664,吉祥芙蓉二月开,微博达人,389,665,1650,其他
2142641921,沃牛成,普通用户,704,361,610,山西 临汾
1854717994,中国山西陈军,微博达人,1220,970,508,山西 临汾
1854751324,小溪流水一,普通用户,199,216,102,山西
1167469157,那缕缕阳光,普通用户,1480,1209,0,山西 临汾
1664290027,安泽186,普通用户,365,295,773,山西 临汾
2055217431,点燃一支烟燃烧人生,普通用户,554,566,1151,山西 临汾
1855772204,胡烟乱雨JZ,微博达人,1281,962,2827,山西 晋中
1940396132,璀璨命莫名泪,普通用户,558,263,98,山西 临汾
1854603982,侯马沃爱生活,微博达人,700,928,9350,山西 临汾
1854709074,心境之-花,普通用户,54,47,24,山西
1855247492,长治联通李小霞,普通用户,723,548,2126,山西 长治
2110489792,临汾联通晓燕沃在微博,微博达人,1145,909,310,山西
1642630330,ooof,微博达人,524,1653,3876,北京 朝阳区
1854612430,临汾联花,普通用户,1998,6177,3143,山西 临汾
2075278253,月亮萧萧的空间,普通用户,448,352,88,山西
1855791330,空杯心态1,普通用户,11,12,59,山西
1855808294,鸿鹄雅志,普通用户,249,414,17833,山西 临汾
1854741154,临汾老段0108,普通用户,148,193,109,山西
1854801444,快乐王子ye,普通用户,47,35,76,山西 临汾
1854617650,侯马周宏俊,普通用户,115,172,382,山西 临汾
1855804622,格林兰萨特恩,微博达人,468,422,19328,山西 临汾
1855779814,温柔帅气0061,普通用户,183,91,23,山西
1854669152,__zZ__zZ,普通用户,694,452,1148,山西 临汾
1855827272,侯晓琦618,普通用户,287,442,1195,山西
1854801352,尧通,普通用户,158,184,81,山西 临汾
1854764352,临汾穆帆,普通用户,335,369,213,山西
1855849552,临汾联通张剑,普通用户,129,145,26,山西
1855802562,001偶然,微博达人,346,349,295,山西 临汾
2108792930,关注越多精彩更多,普通用户,1372,379,2431,山西 临汾
2026270493,超儿妈咪,普通用户,127,314,13513,山西 临汾
2110125457,冰雨蕊儿,普通用户,314,308,369,山东 泰安
1855963150,临汾CHC,普通用户,74,104,207,山西 临汾
1703127297,凤城浪子,微博达人,972,1432,2552,山西 吕梁
2093286831,乡宁卢广全,普通用户,216,167,32,山西
1038779332,临汾联通成保强,普通用户,335,353,186,山西 临汾
2106675250,山西联通丫头,普通用户,159,274,367,山西 临汾
1854749390,安泽联通-沃3G,普通用户,404,337,350,山西
2043473374,珠圆玉润YR,普通用户,219,322,230,山西 临汾
1855796854,生活三爱,微博达人,1128,1323,16803,山西 临汾
1855523004,晋城联通邵华,普通用户,151,407,476,山西
1404087392,王雁晋,普通用户,811,914,6316,山西 临汾
1855857840,临汾赵云林,普通用户,167,217,64,山西 临汾
1855818154,芒果娜娜,普通用户,50,68,345,山西 临汾
1854724214,山西临汾张红胜,普通用户,838,568,1656,山西
1854721310,乒乓九段,普通用户,450,343,124,山西 临汾
1894921022,阎香巧的微薄,普通用户,1882,257,10,青海
1854754262,联通韩卫东,普通用户,14,38,0,山西
1807064237,明月微照,普通用户,469,316,1572,山西 阳泉
1795270181,春节旅游指南,普通用户,1878,1129,0,北京
2083277765,金广快捷太原迎宾店,机构认证,1604,1527,145,山西 太原
2099209161,逸--夏,普通用户,203,170,187,山西 临汾
2106691874,临汾金爱琴,普通用户,51,33,35,山西 临汾
2106681340,lovemyself宝贝,普通用户,105,19,39,山西 临汾
2101352950,临汾红玫瑰幸福,普通用户,85,115,107,山西 临汾
2049731203,会拼定会赢,普通用户,56,131,122,山西 临汾
2096279941,山西刘文景,普通用户,745,539,359,山西 临汾
2084682793,太原申波,个人认证,520,5843,1082,山西
1969123103,看微博1969123103,普通用户,58,28,155,山西
2106704622,茜草染紫,微博达人,206,400,5327,山西 临汾
1854803060,Sxcxy,普通用户,102,143,162,山西
1854802900,找彪哥,普通用户,399,453,870,山西
1855791230,精彩沃派,普通用户,1999,988,1243,山西
2101340942,SXHMQY,普通用户,411,375,400,山西 临汾
1854804220,境界无边,普通用户,316,335,152,山西
1854715122,XF飘,普通用户,295,360,328,山西
1855798062,潜伏0216,普通用户,89,129,205,山西 临汾
1854806480,王玉军0966,普通用户,130,257,96,山西 临汾
2105234032,和谐痴呆,普通用户,524,436,817,山西 临汾
1854791120,翼城小孔,普通用户,350,353,1038,山西 临汾
1854792524,沃隐士,普通用户,36,35,38,山西 临汾
1790381305,2367-木子,普通用户,698,610,1280,山西 临汾
1855857360,鑫鑫平安康乐,普通用户,388,392,170,山西 临汾
1854748162,关艳锦,普通用户,474,734,231,山西 临汾
1855836052,徐瑞华六,普通用户,395,424,528,山西
1935125792,青春飞扬幸运,普通用户,53,28,30,北京 东城区
2069242531,山西兰草,微博达人,1856,2369,6053,山西 临汾
1880673467,临汾老牛,普通用户,454,472,622,山西 临汾
1409081722,清静无忧,普通用户,116,222,297,山西 临汾
1854623930,夜雨飘WO,普通用户,185,68,93,山西 临汾
1855807314,临汾乔斌,普通用户,142,241,69,山西
2049449784,幽默8段子,普通用户,318,492,975,山西 临汾
1957528930,Lisa的桐言桐语,普通用户,252,344,364,山西 临汾
1965068965,流星雨的记录,普通用户,460,536,1629,山西 临汾
1989631387,联通韩辉,普通用户,239,352,91,山西 临汾
1855807090,幸运的青春飞扬,普通用户,522,523,1209,山西
2043863273,手镯儿,普通用户,469,560,0,山西 临汾
1855855572,程晓栋,普通用户,154,290,378,山西
1854742954,杨林保WO,普通用户,21,59,10,山西 临汾
1188009993,山西卢斌,个人认证,927,3007,841,其他
